,rstring,convtime,visited,bestfit,bestrule
86,245759,0,100,"[0.30008453 0.10005379 0.74778107 0.49788673 0.09837278 0.534235
 0.43885602 0.24497041 0.13905325 0.32445759 0.89053254 0.73372781
 0.49915469 0.42159763 0.66666667 0.86456279 0.07692308 0.26627219
 0.47403024 0.90433925 0.33458849 0.54015216 0.24589086 0.26561473
 0.15384615 0.38962221 0.14940828 1.         0.05663567 0.24852071
 0.28796844 0.86052409 0.73767258 0.84097633 0.66346154 0.92307692
 0.42721893 0.18596788 0.14370245 0.87218935 0.65433925 0.87996619
 0.29995448 0.48689772 0.94230769 0.14332676 0.73274162 0.13017751
 0.67793745 0.35872781 0.15798817 0.33653846 0.36094675 0.46449704
 0.80276134 0.64102564 0.92307692 0.45759369 0.32248521 0.66441251
 0.3182117  0.31022823 0.52578191 0.45488166 0.59237344 0.11242604
 0.53032544 0.75221893 0.05128205 0.64299803 0.49289941 0.54503616
 0.09230769 0.77430262 0.86587771 0.58908613 0.92307692 0.87968442
 0.4057481  0.73426573 0.38527285 0.56360947 0.64750634 0.89433643
 0.88658777 0.65285996 0.60270499 0.38132807 0.43984221 0.92307692
 0.76707907 0.51160674 0.86863905 0.85502959 0.60724852 0.66074951
 0.72189349 0.52409129 0.35798817 0.55029586]",<lifelike.Rulestring.Rulestring object at 0x7f5b3237b130>
87,262015,30,2500,0.9800295857988166,<lifelike.Rulestring.Rulestring object at 0x7f5b323df2b0>
88,261887,30,2500,0.9940828402366864,<lifelike.Rulestring.Rulestring object at 0x7f5b32413940>
89,262140,30,2500,0.9534023668639053,<lifelike.Rulestring.Rulestring object at 0x7f5b32425730>
90,249343,30,2500,0.9689349112426036,<lifelike.Rulestring.Rulestring object at 0x7f5b32443fa0>
91,131071,30,2500,0.9946745562130177,<lifelike.Rulestring.Rulestring object at 0x7f5b323c7310>
92,241655,30,2500,0.9733727810650887,<lifelike.Rulestring.Rulestring object at 0x7f5b323e41f0>
93,229375,0,100,"[0.07438715 0.45984784 0.24260355 0.5739645  0.58072697 0.534235
 0.56568047 0.58711374 0.62291555 0.05785667 0.34418146 0.14595661
 0.72287968 0.54536489 0.4852071  0.58974359 0.88284024 0.7147929
 0.79036348 1.         0.20512821 0.03681788 0.4649197  0.4649197
 0.62890955 0.09566075 0.76134122 0.71221087 0.09993425 0.92233728
 0.4270217  0.41748849 0.72696534 0.60848126 0.88362919 0.54372124
 0.22400676 0.37721893 0.68746638 0.05207101 0.56656805 0.39763314
 0.14398422 0.86390533 0.85404339 0.91631445 0.53747535 0.08678501
 0.28846154 0.38968724 0.37633136 0.61161915 0.2375317  0.90433925
 0.30506246 0.1885038  0.30325444 0.28698225 0.06508876 0.21893491
 0.47675402 0.30295858 0.93491124 0.59861933 0.45088757 0.40039448
 0.14053254 0.28254438 0.29908553 0.64852071 0.38968724 0.37531699
 0.40754438 0.91321499 0.39763314 0.59256128 0.51242604 0.38461538
 0.64581572 0.82445759 0.44526627 0.4057481  0.19695689 0.86390533
 0.46272189 0.80473373 0.57445759 0.61275477 0.38038884 0.46627219
 0.93491124 0.79543533 0.17075232 0.52366864 0.91321499 0.50197239
 0.80688542 0.92561285 0.20710059 0.46416831]",<lifelike.Rulestring.Rulestring object at 0x7f5b32403f10>
94,258043,30,2500,0.9709072978303748,<lifelike.Rulestring.Rulestring object at 0x7f5b32424370>
95,130815,30,2500,1.0,<lifelike.Rulestring.Rulestring object at 0x7f5b323bf310>
96,228315,30,2500,0.9747534516765286,<lifelike.Rulestring.Rulestring object at 0x7f5b323e44f0>
97,196347,30,2500,0.97534516765286,<lifelike.Rulestring.Rulestring object at 0x7f5b32425250>
98,262143,0,100,"[0.07889546 1.         0.71005917 0.49230769 0.72781065 0.
 0.26849112 0.49769888 0.77100592 0.         0.84852071 0.52578191
 0.30670611 0.12426036 0.73372781 0.06762468 0.5877712  0.76162299
 0.81854043 0.27218935 0.04142012 0.76162299 0.65606509 0.34742181
 0.         0.76500423 0.57618343 0.21538462 0.         0.02736686
 0.73318989 0.         0.13683432 0.81065089 0.65680473 0.83333333
 0.98009683 0.61390533 0.77662722 0.4704142  0.45340237 0.41715976
 0.41494083 0.93406593 0.66745562 0.74894336 0.31107354 0.85029586
 0.2772612  1.         0.32426036 0.90786137 0.97464074 0.27455621
 0.55367709 0.55621302 1.         0.53491124 0.0295858  0.84023669
 0.68934911 0.08357988 0.04733728 0.28895464 0.27810651 0.96111581
 0.96449704 0.4933432  0.16962525 0.51775148 0.97717667 0.86587771
 0.50073964 0.6556213  0.0729783  0.94843618 0.71597633 0.68554522
 0.79487179 0.12524655 0.93195266 1.         0.5        0.50197239
 0.70118343 0.50211327 0.0486522  0.49605523 0.12228797 0.9443787
 1.         0.82914201 1.         0.86306002 0.75266272 0.82026627
 0.19273035 0.87869822 0.59837278 0.23136095]",<lifelike.Rulestring.Rulestring object at 0x7f5b32443850>
99,262127,0,100,"[0.80980558 0.52307692 0.34742181 0.82445759 0.35576923 0.82366864
 0.56360947 0.73964497 1.         0.2357002  0.67032967 0.40927022
 0.10453649 0.56706114 0.13757396 0.66218397 0.48224852 0.73372781
 0.46035503 0.14398422 0.85897436 0.53188692 0.07840237 0.83550296
 0.35621302 0.84122288 0.30346577 0.81572274 0.52155537 0.14370245
 0.9418146  0.12899408 0.55473373 0.12679628 0.35404339 0.23076923
 0.12573964 0.14990138 0.54585799 0.17159763 0.18540434 0.03491124
 0.95636095 0.72527473 0.23175542 0.62984878 0.04088219 0.2714497
 0.33372781 0.03879027 0.84497041 0.53180473 0.28994083 0.91518738
 0.54015216 0.8123415  0.38921762 0.5704142  0.67948718 0.61637081
 0.46290396 0.43364328 0.94970414 0.45364892 0.33530572 0.90414201
 0.89053254 0.58505917 0.14792899 0.9418146  0.0887574  0.25274725
 0.66568047 0.625      0.88588335 0.06508876 0.79526627 0.23602893
 0.21745562 0.09837278 0.26415892 0.49289941 0.37708445 0.64158918
 0.11073542 0.41518738 0.62011834 0.8964497  0.38377008 0.50718512
 0.50098619 0.31804734 0.55719921 0.31360947 0.86489152 0.81065089
 0.25739645 0.59763314 0.64497041 0.92730347]",<lifelike.Rulestring.Rulestring object at 0x7f5b3231f280>
